问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0" 
问题:哲学的基本问题是古今中外所有哲学家和哲学派别都无法回避的问题。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】本题考查哲学常识，主要涉及哲学的基本问题。思维和存在的关系问题是哲学的基本问题，这一问题是古今中外所有哲学家和哲学派别都无法回避的问题。其中对思维和存在何者是第一性的不同回答是划分唯物主义和唯心主义的标准；对思维和存在有无同一性的不同回答划分了可知论和不可知论。故表述正确。","
来源:2016年江西鹰潭事业单位考试《公共基础知识》题（部分）第95题","
出错率：91.65%","
易错选项：1"
问题:下列关于马克思主义哲学的特征，说法有误的是（    ）。,,"
选项：['A', '.', '马', '克', '思', '主', '义', '哲', '学', '第', '一', '次', '实', '现', '了', '唯', '物', '主', '义', '与', '辩', '证', '法', '的', '有', '机', '统', '一', '\n', 'B', '.', '马', '克', '思', '主', '义', '哲', '学', '的', '科', '学', '性', '和', '革', '命', '性', '都', '是', '以', '实', '践', '性', '为', '基', '础', '的', '\n', 'C', '.', '马', '克', '思', '主', '义', '哲', '学', '实', '现', '了', '唯', '物', '辩', '证', '的', '自', '然', '观', '和', '唯', '物', '辩', '证', '的', '历', '史', '观', '的', '有', '机', '统', '一', '\n', 'D', '.', '马', '克', '思', '主', '义', '哲', '学', '打', '破', '了', '传', '统', '哲', '学', '“', '阶', '级', '性', '”', '的', '特', '征', '，', '是', '“', '全', '民', '”', '的', '哲', '学', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。A、C项正确，在哲学发展史上，马克思主义哲学第一次实现了：（1）唯物主义与辩证法的有机统一；（2）唯物辩证的自然观与唯物辩证的历史观的有机统一；（3）实践基础上科学性与革命性的统一。B项正确，实践性是马克思主义哲学最首要和最基本的观点，马克思主义哲学的科学性和革命性都是以实践性为基础的。D项错误，从阶级属性和功能上看，马克思主义哲学是无产阶级的世界观和方法论。本题为选非题，故正确答案为D。","
来源:2018年10月14日天津市河西区事业单位《综合知识》题第22题","
出错率：55.48%","
易错选项：2"
问题:下列选项中，正确的是（  ）。,,"
选项：['A', '.', '马', '克', '思', '主', '义', '哲', '学', '产', '生', '于', '1', '9', '世', '纪', '4', '0', '年', '代', '\n', 'B', '.', '马', '克', '思', '主', '义', '哲', '学', '最', '初', '产', '生', '于', '苏', '联', '\n', 'C', '.', '马', '克', '思', '主', '义', '哲', '学', '包', '括', '唯', '物', '主', '义', '和', '唯', '心', '主', '义', '\n', 'D', '.', '马', '克', '思', '主', '义', '哲', '学', '认', '为', '原', '子', '是', '物', '质', '的', '最', '终', '层', '次', '\n']","
答案：0","
【解析】本题考查哲学常识。A项：正确，马克思主义产生于19世纪40年代欧洲如火如荼的无产阶级革命运动之中，它通过对革命斗争经验的深刻总结，揭示了社会主义必将取代资本主义的客观规律，阐明了无产阶级进行革命和寻求解放的正确道路，从而成为指导无产阶级革命的纲领。B项：错误，马克思主义哲学最初产生是在德国，而不是苏联，故排除。C项：错误，辩证唯物主义和历史唯物主义是马克思主义最根本的世界观和方法论，因此马克思主义是彻底的唯物主义，所以其不包括唯心主义，故排除。D项：错误，“原子是物质的最终层次”是形而上学唯物主义的观点，而不是马克思主义哲学的观点，故排除。故正确答案为A。","
来源:2016年吉林延吉事业单位考试《公共基础知识》题（部分）第2题","
出错率：59.17%","
易错选项：1"
问题:哲学的基本问题是（  ）。,,"
选项：['A', '.', '从', '研', '究', '的', '方', '法', '上', '看', '，', '是', '唯', '物', '论', '和', '辩', '证', '法', '的', '关', '系', '问', '题', '\n', 'B', '.', '从', '研', '究', '的', '内', '容', '上', '看', '，', '是', '世', '界', '观', '和', '方', '法', '论', '的', '关', '系', '问', '题', '\n', 'C', '.', '从', '世', '界', '的', '本', '原', '上', '看', '，', '是', '思', '维', '与', '存', '在', '何', '为', '第', '一', '性', '的', '问', '题', '\n', 'D', '.', '从', '世', '界', '的', '形', '式', '上', '看', '，', '是', '运', '动', '与', '静', '止', '何', '为', '第', '一', '性', '的', '问', '题', '\n']","
答案：2","
【解析】哲学基本问题只有两方面的内容：第一方面是思维和存在、意识和物质何者为本原的问题。另一个方面是思维和存在的同一性问题。世界的本原体现着哲学的核心，哲学的核心是第一方面的问题，所以从世界本原上看，哲学是思维与存在何为第一性的问题。故正确答案为C。","
来源:2014年5月山西省直事业单位《公共基础知识》题（部分）第1题","
出错率：86.28%","
易错选项：1"
问题:以下命题反映客观唯心主义的是（  ）。,,"
选项：['A', '.', '万', '物', '皆', '备', '于', '我', '\n', 'B', '.', '理', '在', '事', '先', '\n', 'C', '.', '宇', '宙', '便', '是', '吾', '心', '，', '吾', '心', '便', '是', '宇', '宙', '\n', 'D', '.', '存', '在', '就', '是', '被', '感', '知', '，', '物', '是', '观', '念', '的', '集', '合', '\n']","
答案：1","
【解析】本题考查哲学常识，主要涉及哲学的基本派别相关内容。客观唯心主义认为精神是世界的主宰和本原，但是这精神不是某些个人的主观意识，而是绝对独立于人类与自然界的实体，是存在于宇宙空间的一种神秘的“客观精神”，例如上帝、理念、绝对精神。主观唯心主义把个人的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是世界上一切事物产生和存在的根源与基础，而世界上的一切事物则是由这些主观精神所派生的，是这些主观精神的显现。A项错误，认为世上的万事万物都是为我准备的，一切以自我为中心，属于典型的主观唯心主义。B项正确，认为“理”是世界的本原，万事万物是由“理”派生出来的，属于客观唯心主义。C项错误，认为宇宙是因为我的意识而存在，我的意识就是宇宙的全部，属于主观唯心主义。D项错误，认为外部世界不过是自己的感觉罢了，把感觉认为是一切事物产生的基础,属于主观唯心主义。故正确答案为B。","
来源:2017年下半年江西省省直事业单位考试《综合基础知识》题（工勤技能岗）第58题","
出错率：58.25%","
易错选项：3"
问题:没有物就没有影，事实和思想的关系就是物与影的关系，这种观点属于（  ）。,,"
选项：['A', '.', '近', '代', '形', '而', '上', '学', '的', '、', '机', '械', '的', '唯', '物', '主', '义', '观', '点', '\n', 'B', '.', '唯', '物', '论', '和', '辩', '证', '法', '的', '合', '理', '结', '合', '\n', 'C', '.', '世', '界', '观', '和', '方', '法', '论', '的', '有', '机', '统', '一', '\n', 'D', '.', '古', '代', '朴', '素', '的', '和', '辩', '证', '的', '唯', '物', '主', '义', '\n']","
答案：0","
【解析】A项正确，“没有物就没有影”这句话强调了物对影的决定作用。“事实和思想的关系就是物与影的关系”这句话强调了事实对思想的决定作用是唯物主义的观点，但是没有体现出运动、联系和发展的观点，所以是近代形而上学的、机械的唯物主义观点。B项错误，题目中没有体现出辩证法。C项错误，题目中没有体现出世界观和方法论有机统一。D项错误。古代朴素唯物主义否认世界是神创造的，认为世界是物质的，坚持唯物主义的根本方向，本质上是正确的。但是它把物质归结为具体的物质形态，如水、火、气、土等。题目中没有体现古代朴素唯物主义思想。故正确答案为A。","
来源:2014年5月山西省直事业单位《公共基础知识》题（部分）第4题","
出错率：29.71%","
易错选项：1"
问题:每一个真正的哲学问题所把握的都是自己所处时代脉搏的一次跳动，所演奏的都是自己所处时代的一段最强音，这说明（  ）。,,"
选项：['A', '.', '哲', '学', '来', '源', '于', '音', '乐', '\n', 'B', '.', '哲', '学', '的', '本', '质', '是', '人', '的', '大', '脑', '活', '动', '\n', 'C', '.', '新', '时', '期', '的', '改', '革', '开', '放', '产', '生', '了', '真', '正', '的', '哲', '学', '\n', 'D', '.', '哲', '学', '是', '对', '一', '定', '社', '会', '和', '时', '代', '的', '经', '济', '和', '政', '治', '的', '反', '映', '\n']","
答案：3","
【解析】题干的关键词在于“哲学”、“时代”。哲学，是理论化、系统化的世界观，是自然知识、社会知识、思维知识的概括和总结，是世界观和方法论的统一，也是对一定社会和时代的经济和政治的反映。D项符合题干所表达的意思。其他选项均没有体现出来。故正确答案为D。","
来源:2014年5月山西省直事业单位《公共基础知识》题（部分）第5题","
出错率：96.73%","
易错选项：1"
问题:英国哲学家贝克莱说过一句名言：“存在就是被感知”。这句话表达的是（    ）的观点。,,"
选项：['A', '.', '朴', '素', '唯', '物', '主', '义', '\n', 'B', '.', '客', '观', '唯', '心', '主', '义', '\n', 'C', '.', '辩', '证', '唯', '物', '主', '义', '\n', 'D', '.', '主', '观', '唯', '心', '主', '义', '\n']","
答案：3","
【解析】本题考查马克思主义哲学。A项错误，古代朴素唯物主义，否认世界是神创造的，认为世界是物质的，坚持了唯物主义的根本方向。它把物质归结为具体的物质形态，如水、火、气、土等。题干没有体现朴素唯物主义。B项错误，客观唯心主义认为精神是世界的本原，是第一性的，但这精神不是某些个人的主观意识，而是存在于宇宙空间的一种神秘的、客观的精神。题干没有体现客观唯心主义。C项错误，现代辩证唯物主义即马克思主义哲学，题干没有体现辩证唯物主义。D项正确，主观唯心主义认为精神是世界的本源，认为万事万物都是“我”的感觉、观念、意志、情感等的产物，没有“我”就没有世界。“存在就是被感知”意味着外部世界不过是自己的感觉罢了，把人的“感觉”认为是一切事物产生的基础，是主观唯心主义。故正确答案为D。","
来源:2019年四川省崇州市公开招聘事业单位工作人员考试《公共基础知识》试题第19题","
出错率：70.18%","
易错选项：1"
问题:爱因斯坦曾经说过：“哲学要是不同科学接触，就会变成空架子；科学要是没有哲学，就是原始的混乱的东西”。对此下列论述说明正确的是（  ）。,,"
选项：['A', '.', '哲', '学', '是', '世', '界', '观', '，', '具', '体', '科', '学', '是', '方', '法', '论', '\n', 'B', '.', '哲', '学', '是', '百', '科', '全', '书', '，', '哲', '学', '是', '科', '学', '之', '科', '学', '\n', 'C', '.', '哲', '学', '与', '具', '体', '科', '学', '的', '关', '系', '是', '系', '统', '与', '要', '素', '的', '关', '系', '\n', 'D', '.', '哲', '学', '以', '具', '体', '科', '学', '为', '基', '础', '，', '又', '对', '具', '体', '科', '学', '起', '指', '导', '作', '用', '\n']","
答案：3","
【解析】题干中关键词为“空架子”、“原始的混乱东西”，由此可见说的是指导与基础之间的关系。D选项表述符合题干要求。哲学与具体科学是一般与个别、共性与个性，二者既相互区别又相联系，哲学是具体科学的指导，具体科学是哲学的基础。故正确答案选D。","
来源:2014年5月山西省直事业单位《公共基础知识》题（部分）第9题","
出错率：81.15%","
易错选项：0"
问题:马克思主义哲学的研究对象是具体科学研究的具体方法。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查哲学概述。马克思主义哲学的研究对象是自然界、社会和人类思维的一般规律，不是具体科学研究的具体方法。故表述错误。","
来源:2017年天津市事业单位考试《综合知识》题第41题","
出错率：58.76%","
易错选项：0"
问题:方法论决定世界观，世界观体现方法论。,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查哲学概念，世界观与方法论的关系。世界观是人们对世界总的根本的观点。方法论是指导人们认识世界、改造世界的最一般、最根本的思维方式和思维理念。世界观与方法论是一致的。有什么样的世界观就有什么样的方法论。世界观决定方法论，方法论体现世界观。故表述错误。","
来源:2017年湖南湘西事业单位考试《公共基础知识》题第64题","
出错率：66.02%","
易错选项：0"
问题:下列名言没有体现古代朴素唯物主义的是（  ）,,"
选项：['A', '.', '“', '一', '天', '一', '地', '，', '并', '生', '万', '物', '，', '万', '物', '之', '生', '，', '惧', '得', '一', '气', '”', '\n', 'B', '.', '“', '天', '行', '有', '常', '，', '不', '为', '尧', '存', '，', '不', '为', '桀', '亡', '”', '\n', 'C', '.', '“', '形', '存', '则', '神', '存', '，', '形', '谢', '则', '神', '灭', '”', '\n', 'D', '.', '“', '吾', '心', '即', '是', '宇', '宙', '”', '\n']","
答案：3","
【解析】本题考查的是古代朴素唯物主义。古代朴素唯物主义认为世界的本原是某一种或某几种原初物质，如水、火、气等。坚持了物质第一性、意识第二性的正确观点，但具有直观性、猜测性的缺陷。A项正确，选项认为世界的本原是气，体现了古代朴素唯物主义。B项正确，选项认为社会发展有其自然、特定的规律，不因尧的圣明而存在，不因桀而不存在，坚持了物质第一性，体现了古代朴素唯物主义。C项正确，选项强调物质的外形存在，则精神存在，坚持了物质的第一性，体现了古代朴素唯物主义。D项错误，选项是将人的心灵、感觉、经验看作世界的本质，属于主观唯心主义观点。本题为选非题，故正确答案为D。","
来源:2017年江西南昌事业单位考试《公共基础知识》题第45题","
出错率：75.5%","
易错选项：0"
问题:马克思主义哲学区别于一切旧哲学的最主要、最显著的特征是（    ）。,,"
选项：['A', '.', '阶', '级', '性', '\n', 'B', '.', '革', '命', '性', '\n', 'C', '.', '实', '践', '性', '\n', 'D', '.', '科', '学', '性', '\n']","
答案：2","
【解析】本题考查马克思主义哲学。马克思主义哲学是以实践为基础的科学性和革命性相统一的哲学，实践性是它区别于一切旧哲学最主要、最显著的特征，阶级性是它另一显著特征。A项错误，阶级性是马克思主义哲学的一个特征，马克思主义哲学是无产阶级的思想体系，但是实践性是马克思主义哲学区别于一切旧哲学最主要、最显著的特征，故不符合题意。B项错误，革命性是指它是批判的、革命的，它把变革旧世界作为自己的任务和目的，并非马克思主义哲学区别于一切旧哲学最主要，最显著的特征，故不符合题意。C项正确，马克思主义哲学是以实践为基础的科学性和革命性相统一的哲学，实践性是它区别于一切旧哲学最主要、最显著的特征，故符合题意。D项错误，科学性是指一方面它是建立在科学的基础上的，另一方面它是关于自然、社会、思维发展的普遍规律的科学，并非马克思主义哲学区别于一切旧哲学最主要，最显著的特征，故不符合题意。故正确答案为C。","
来源:2018年12月9日四川省宜宾市事业单位考试《公共基础知识》精选题第18题","
出错率：79.16%","
易错选项：3"
问题:形而上学唯物主义的缺陷就是没有把哲学的物质概念同自然科学的物质概念等同起来。（   ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查政治常识，主要考察马克思主义哲学的基本派别。形而上学唯物主义把世界的本原归结为原子，认为原子的属性就是一切物质形态的共同属性，缺陷就是把哲学的物质概念同自然科学的物质概念等同起来，即自然观是唯物的。故表述错误。","
来源:2016年7月四川省宜宾市事业单位考试《公共基础知识》题第2题","
出错率：62.03%","
易错选项：0"
问题:第一次提出哲学基本问题的是（  ）。,,"
选项：['A', '.', '列', '宁', '\n', 'B', '.', '恩', '格', '斯', '\n', 'C', '.', '马', '克', '思', '\n', 'D', '.', '黑', '格', '尔', '\n']","
答案：1","
【解析】哲学是从总体上研究人和世界的关系的，是理论形态的世界观。而人和世界关系最本质的方面就是思维和存在、精神和物质的关系问题。恩格斯在总结哲学史的基础上第一次明确指出：“全部哲学，特别是近代哲学的重大的基本问题，是思维和存在的关系问题。”故正确答案为B。","
来源:2013年山东省威海市事业单位考试《公共基础知识》题（部分）第22题","
出错率：47.08%","
易错选项：2"
问题:哲学就是系统化、理论化的世界观，是世界观的理论形态。（   ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】本题考查政治常识，主要考察哲学的基本概述。马克思主义观点认为，哲学是系统化、理论化的世界观，是世界观和方法论的统一；哲学是对自然知识、社会知识和思维知识的概括和总结，是世界观的理论形态。故表述正确。","
来源:2016年7月四川省宜宾市事业单位考试《公共基础知识》题第3题","
出错率：76.53%","
易错选项：1"
问题:党的十八大以来，对腐败零容忍的态度和有案必查、有腐必惩等严厉查处措施，一些贪官“落马”，甚至相当级别的高管因涉嫌触犯党纪国法被依法依纪严肃查处。这些“落马”者之所以成为腐败分子，其根本原因是放弃世界观的改造，背弃理想信念，思想蜕化变质。这说明（ ）。,,"
选项：['A', '.', '世', '界', '观', '是', '人', '们', '熟', '悉', '整', '个', '世', '界', '的', '根', '本', '观', '点', '\n', 'B', '.', '世', '界', '观', '是', '决', '定', '人', '生', '道', '路', '选', '择', '的', '重', '要', '因', '素', '\n', 'C', '.', '世', '界', '观', '是', '哲', '学', '组', '成', '的', '重', '要', '部', '分', '\n', 'D', '.', '世', '界', '观', '是', '千', '变', '万', '化', '的', '\n']","
答案：1","
【解析】马克思主义哲学认为，有什么样的世界观就有什么样的方法论，即世界观决定方法论，世界观决定人生道路的选择。官员放弃世界观的改造，背弃理想信念，思想蜕化变质，走上贪污腐化的道路，说明了世界观是决定人生道路选择的重要因素。故正确答案为B。","
来源:2014年吉林省长春市《公共基础知识》题第12题","
出错率：91.47%","
易错选项：0"
问题:下列关于具体科学与哲学关系的表述，正确的是（  ）。①没有具体科学的产生和发展就没有哲学②具体科学是哲学产生和发展的基础③哲学是科学，科学也是哲学④哲学为具体科学研究提供世界观和方法论,,"
选项：['A', '.', '①', '③', '④', '\n', 'B', '.', '①', '②', '④', '\n', 'C', '.', '②', '③', '④', '\n', 'D', '.', '①', '②', '③', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。①②④正确，哲学与具体科学是一般与个别的关系。一方面，哲学以具体科学为基础，没有具体科学的发展，哲学既不可能产生，也不可能发展；另一方面，具体科学以哲学为指导，哲学为具体科学的研究提供正确的世界观和方法论。③错误，哲学和科学二者并不是完全对等的，具体科学具有个别性和特殊性，以世界某一特殊领域的具体规律为自己的研究对象；哲学具有一般性和普遍性，以包括自然界、社会和人类思维在内的整个世界的一般规律作为自己的研究对象。综上所述，①②④正确。故正确答案为B。","
来源:2015年5月山西省直事业单位《公共基础知识》题第1题","
出错率：78.82%","
易错选项：2"
问题:马克思主义哲学与具体科学的关系是（  ）。[br][/br],,"
选项：['A', '.', '一', '般', '与', '个', '别', '\n', 'B', '.', '整', '体', '和', '局', '部', '\n', 'C', '.', '代', '替', '与', '被', '代', '替', '\n', 'D', '.', '有', '限', '与', '无', '限', '\n']","
答案：0","
【解析】马克思主义哲学是关于自然、社会和思维发展一般规律的学说，它坚持唯物论和辩证法的统一，坚持唯物主义自然观和历史观的统一，是科学的世界观和方法论。具体科学以世界某一特殊领域的具体规律为自己的研究对象，因而其理论具有个别性和特殊性；马克思主义哲学以包括自然、社会和人类思维在内的整个世界的最一般规律作为自己的研究对象，因而其理论具有一般性和普遍性。马克思主义哲学与具体科学是一般与个别的关系。故正确答案为A。","
来源:2013年11月湖南省永州市祁阳县事业单位考试《公共基础知识》题（精选）第17题","
出错率：58.08%","
易错选项：1"
问题:下面能体现唯物主义和唯心主义观点的是（  ）。,,"
选项：['A', '.', '形', '存', '神', '存', '—', '—', '理', '在', '事', '先', '\n', 'B', '.', '理', '在', '气', '先', '—', '—', '削', '足', '适', '履', '\n', 'C', '.', '掩', '耳', '盗', '铃', '—', '—', '削', '足', '适', '履', '\n', 'D', '.', '统', '筹', '兼', '顾', '—', '—', '刻', '舟', '求', '剑', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。区分唯物主义和唯心主义的分界线的关键在于判断思维和存在何者为第一性的问题。具体而言，唯物主义认为存在是第一性，即存在决定思维；唯心主义认为思维是第一性的，即思维决定存在。A项正确，“形存神存”认为物质决定意识，意识离不开物质的朴素唯物主义观点；“理在事先”意思是天理在有事物之前就已经存在，属于客观唯心主义的观点。B项错误，“理在气先”是朱熹的观点，他认为“理”是构成物质世界的精神主宰，“气”是物质世界的具体存在，他强调“理”存在于“气”之前，“理”创造了“气”，属于客观唯心主义的观点；“削足适履”比喻不合理地迁就凑合或不顾具体条件地生搬硬套，属于唯心主义的观点。C项错误，“掩耳盗铃”是以主观感觉决定客观存在,否认了事物的客观存在，属于主观唯心主义的观点；“削足适履”属于唯心主义的观点。D项错误，“统筹兼顾”强调要正确处理主次矛盾的关系，属于辩证唯物主义的观点；“刻舟求剑”是用静止观点看问题的形而上学的观点。故正确答案为A。","
来源:2015年5月山西省直事业单位《公共基础知识》题第2题","
出错率：60.03%","
易错选项：3"
问题:塞罕坝林场位于河北省北部，占地9.3万公顷。由于历史上的过度采伐，曾经茂密的林场变成了荒漠。1962年起，三代塞罕坝林场人艰苦奋斗，创造了“沙漠变绿洲，荒原变林海”的绿色奇迹，获得了2017年联合国“地球卫士奖”。这说明（    ）。,,"
选项：['A', '.', '人', '们', '不', '仅', '能', '认', '识', '规', '律', '，', '还', '能', '创', '新', '和', '发', '展', '规', '律', '\n', 'B', '.', '尊', '重', '客', '观', '规', '律', '才', '能', '正', '确', '发', '挥', '主', '观', '能', '动', '性', '\n', 'C', '.', '只', '要', '发', '挥', '人', '民', '群', '众', '的', '力', '量', '，', '就', '没', '有', '不', '成', '功', '的', '\n', 'D', '.', '主', '观', '能', '动', '性', '的', '发', '挥', '决', '定', '着', '事', '情', '的', '成', '败', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。A项错误，客观规律是指不以人的意志为转移的客观世界的规则。在马克思主义哲学中，它是事物运动过程中固有的、本质的、必然的、稳定的联系，独立于意识之外。规律可以被认识和利用，但是不能被创新、发展、改变。B项正确，塞罕坝林场由于过度砍伐而变成荒漠，又通过三代人植树造林创造绿色奇迹。尊重自然，遵循事物发展的自身规律而从事活动，才能让沙漠变绿洲，说明尊重客观规律才能正确发挥主观能动性。C项错误，选项本身表述错误，片面夸大了人的主观能动性。D项错误，马克思主义哲学认为物质决定意识，意识是物质的产物。D项强调了意识的决定性作用，是唯心主义的错误观点。故正确答案为B。","
来源:2018年山东省高校毕业生“三支一扶”招募考试《公共基础知识》题（客观题部分满分72）第42题","
出错率：67.7%","
易错选项：0"
问题:世界的真正统一在于它的物质性。（  ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：0","
【解析】马克思主义哲学认为，世界的真正统一性在于它的物质性，即客观实在性。故表述正确。","
来源:2014年7月河南省开封市市直事业单位考试《公共基础知识》题第43题","
出错率：75.29%","
易错选项：1"
问题:下列说法属于主观唯心主义的有（    ）。,,"
选项：['A', '.', '人', '为', '自', '然', '立', '法', '\n', 'B', '.', '存', '在', '就', '是', '被', '感', '知', '\n', 'C', '.', '物', '是', '感', '觉', '的', '复', '合', '\n', 'D', '.', '心', '外', '无', '物', '\n']","
答案：0,1,2,3","
【解析】本题考查马克思主义哲学常识。主观唯心论把人的主观精神看成是世界的本原，具有代表性的表述有：我、心、感觉、感知、经验、意志。A项正确，“人为自然立法”即人为自然界划分秩序，规定着自然界的发展，故属于主观唯心主义。B项正确，“存在就是被感知”的意思是：一个事物之所以存在，是因为人们感知到了它，而没有被感知到的一切（精神除外）都是不存在的，故属于典型的主观唯心主义。C项正确，“物是感觉的复合”的意思是：物的存在是通过感觉综合而成的。认为人的感觉外化产生了万物，认为感觉是世界中事物产生和存在的根源与基础，而感觉是人的主观精神，故属于主观唯心主义。D项正确，“心外无物”是明代思想家王阳明的重要观点，它的意思是：在心灵之外不存在客观事物，心灵是客观事物的来源和基础，故属于主观唯心主义。故正确答案为ABCD。","
来源:2018年12月9日四川省宜宾市事业单位考试《公共基础知识》精选题第57题","
出错率：36.82%","
易错选项：None"
问题:下列观点中，属于客观唯心主义的有（  ）。,,"
选项：['A', '.', '万', '物', '皆', '是', '一', '理', '\n', 'B', '.', '存', '在', '就', '是', '被', '感', '知', '\n', 'C', '.', '人', '是', '万', '物', '的', '尺', '度', '\n', 'D', '.', '世', '界', '是', '绝', '对', '观', '念', '的', '异', '化', '\n']","
答案：0,3","
【解析】客观唯心主义指出某种客观的精神原则是先于物质世界并独立于物质世界而存在的本体，而物质世界（或外部世界）则不过是这种客观精神或原则的外化或表现，如柏拉图的“理念”、黑格尔的“绝对精神”、朱熹的“理”。所以A、D两项符合题意。主观唯心主义把本体的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础。B、C两项是认为人的感觉、精神、意识是世界本原的主观唯心主义的观点。故正确答案为AD。","
来源:2013年10月河北省石家庄市事业单位招聘考试《公共基础知识》题（精选）第61题","
出错率：49.36%","
易错选项：1"
问题:毛泽东在批评“左”倾冒险主义者时说：“他们自称为马克思列宁主义者，其实一点马克思列宁主义也没有学到。列宁说马克思主义最本质的东西，马克思主义的活的灵魂，就是在于具体地分析具体的情况。我们的这些同志恰是忘记了这一点。”这段话说明马克思主义的精髓是（   ）。,,"
选项：['A', '.', '实', '事', '求', '是', '\n', 'B', '.', '勇', '于', '创', '新', '\n', 'C', '.', '对', '立', '统', '一', '\n', 'D', '.', '群', '众', '路', '线', '\n']","
答案：0","
【解析】本题考查马克思主义哲学的相关内容。A项正确，实事求是是马克思主义科学世界观的根本原则，也是科学的实践观的根本要求，是马克思主义的精髓。题中“具体地分析具体的情况”体现了马克思主义理论实事求是的精髓。B项错误，勇于创新不是马克思主义的精髓，与题意不符。C项错误，对立统一规律是唯物辩证法的实质和核心，但不是马克思主义的精髓，与题意不符。D项错误，群众路线是党的根本工作路线，以毛泽东为代表的中国共产党在长期斗争中形成了一切为了群众，一切依靠群众和从群众中来，到群众中去的群众路线。群众路线是毛泽东思想三个活的灵魂的之一，是党的根本工作路线。故正确答案为A。","
来源:2018年1月13日山东济南市、县区事业单位招聘考试《公共基础知识》（客观题部分）第27题","
出错率：93.67%","
易错选项：2"
问题:小李坚持“人不能两次踏进同一条河流”，小王坚持“人甚至连一次也不能踏进同一条河流”，下列判断和理由都正确的是（  ）,,"
选项：['A', '.', '小', '李', '正', '确', '，', '因', '为', '其', '强', '调', '世', '界', '的', '绝', '对', '运', '动', '并', '且', '没', '有', '否', '认', '相', '对', '静', '止', '\n', 'B', '.', '小', '王', '正', '确', '，', '因', '为', '其', '肯', '定', '了', '世', '界', '的', '绝', '对', '运', '动', '\n', 'C', '.', '小', '李', '错', '误', '，', '因', '为', '其', '否', '定', '了', '事', '物', '的', '相', '对', '静', '止', '\n', 'D', '.', '小', '王', '错', '误', '，', '因', '为', '其', '否', '定', '了', '运', '动', '是', '绝', '对', '的', '，', '静', '止', '是', '相', '对', '的', '\n']","
答案：0","
【解析】本题考查的是运动和静止的辩证统一关系。运动是绝对的、无条件的、永恒的，即事物无论在什么情况下都处于运动之中；静止是相对的、有条件的、暂时的，是运动的一种特殊的状态；“动中有静，静中有动”。割裂二者的关系会导致形而上学不变论和相对主义。“人不能两次踏进同一条河”是哲学家赫拉克利特说的，强调运动变化，并没有否定静止。在他的思想中，运动是绝对的，静止是相对的。“人一次也不能踏进同一条河”是哲学家赫拉克利特的学生克拉底鲁说的，这句话夸大了运动的绝对性，否认静止的相对性，是割裂了运动和静止的相对主义。故正确答案为A。","
来源:2017年江西南昌事业单位考试《公共基础知识》题第51题","
出错率：58.18%","
易错选项：3"
